rounds	row	columns	wordsize	kolumns	block	key	full-diffusion
21	2	3	6	15	36	180	6
22	2	3	6	16	36	192	6
9	2	3	7	3	42	42	8
10	2	3	7	4	42	56	6
11	2	3	7	5	42	70	6
12	2	3	7	6	42	84	6
13	2	3	7	7	42	98	8
14	2	3	7	8	42	112	6
15	2	3	7	9	42	126	6
16	2	3	7	10	42	140	6
17	2	3	7	11	42	154	6
18	2	3	7	12	42	168	6
19	2	3	7	13	42	182	6
20	2	3	7	14	42	196	6
21	2	3	7	15	42	210	6
22	2	3	7	16	42	224	6
9	2	3	8	3	48	48	8
10	2	3	8	4	48	64	6
11	2	3	8	5	48	80	10
12	2	3	8	6	48	96	8
13	2	3	8	7	48	112	6
14	2	3	8	8	48	128	6
15	2	3	8	9	48	144	6
16	2	3	8	10	48	160	6
17	2	3	8	11	48	176	6
18	2	3	8	12	48	192	6
19	2	3	8	13	48	208	6
20	2	3	8	14	48	224	6
21	2	3	8	15	48	240	6
22	2	3	8	16	48	256	6
9	2	3	9	3	54	54	6
10	2	3	9	4	54	72	8
11	2	3	9	5	54	90	6
12	2	3	9	6	54	108	8
13	2	3	9	7	54	126	10
14	2	3	9	8	54	144	6
15	2	3	9	9	54	162	6
16	2	3	9	10	54	180	6
17	2	3	9	11	54	198	6
18	2	3	9	12	54	216	6
19	2	3	9	13	54	234	6
20	2	3	9	14	54	252	6
21	2	3	9	15	54	270	6
22	2	3	9	16	54	288	6
9	2	3	10	3	60	60	8
10	2	3	10	4	60	80	10
11	2	3	10	5	60	100	8
12	2	3	10	6	60	120	6
13	2	3	10	7	60	140	6
14	2	3	10	8	60	160	6
15	2	3	10	9	60	180	6
16	2	3	10	10	60	200	6
17	2	3	10	11	60	220	6
18	2	3	10	12	60	240	6
19	2	3	10	13	60	260	6
20	2	3	10	14	60	280	6
21	2	3	10	15	60	300	6
22	2	3	10	16	60	320	6
9	2	3	11	3	66	66	6
10	2	3	11	4	66	88	6
11	2	3	11	5	66	110	6
12	2	3	11	6	66	132	6
13	2	3	11	7	66	154	6
14	2	3	11	8	66	176	6
15	2	3	11	9	66	198	6
16	2	3	11	10	66	220	6
17	2	3	11	11	66	242	6
18	2	3	11	12	66	264	6
19	2	3	11	13	66	286	6
20	2	3	11	14	66	308	6
21	2	3	11	15	66	330	6
22	2	3	11	16	66	352	6
9	2	3	12	3	72	72	6
10	2	3	12	4	72	96	6
11	2	3	12	5	72	120	14
12	2	3	12	6	72	144	8
13	2	3	12	7	72	168	8
14	2	3	12	8	72	192	6
15	2	3	12	9	72	216	6
16	2	3	12	10	72	240	6
17	2	3	12	11	72	264	6
18	2	3	12	12	72	288	6
19	2	3	12	13	72	312	6
20	2	3	12	14	72	336	6
21	2	3	12	15	72	360	6
22	2	3	12	16	72	384	6
9	2	3	13	3	78	78	8
10	2	3	13	4	78	104	8
11	2	3	13	5	78	130	8
12	2	3	13	6	78	156	6
13	2	3	13	7	78	182	6
14	2	3	13	8	78	208	10
15	2	3	13	9	78	234	8
16	2	3	13	10	78	260	10
17	2	3	13	11	78	286	8
18	2	3	13	12	78	312	8
19	2	3	13	13	78	338	8
20	2	3	13	14	78	364	8
21	2	3	13	15	78	390	8
22	2	3	13	16	78	416	8
9	2	3	14	3	84	84	8
10	2	3	14	4	84	112	6
11	2	3	14	5	84	140	8
12	2	3	14	6	84	168	10
13	2	3	14	7	84	196	6
14	2	3	14	8	84	224	8
15	2	3	14	9	84	252	10
16	2	3	14	10	84	280	10
17	2	3	14	11	84	308	8
18	2	3	14	12	84	336	8
19	2	3	14	13	84	364	8
20	2	3	14	14	84	392	8
21	2	3	14	15	84	420	8
22	2	3	14	16	84	448	8
9	2	3	15	3	90	90	8
10	2	3	15	4	90	120	6
11	2	3	15	5	90	150	6
12	2	3	15	6	90	180	10
13	2	3	15	7	90	210	6
14	2	3	15	8	90	240	6
15	2	3	15	9	90	270	6
16	2	3	15	10	90	300	6
17	2	3	15	11	90	330	6
18	2	3	15	12	90	360	6
19	2	3	15	13	90	390	6
20	2	3	15	14	90	420	6
21	2	3	15	15	90	450	6
22	2	3	15	16	90	480	6
9	2	3	16	3	96	96	8
10	2	3	16	4	96	128	12
11	2	3	16	5	96	160	6
12	2	3	16	6	96	192	6
13	2	3	16	7	96	224	6
14	2	3	16	8	96	256	6
15	2	3	16	9	96	288	6
16	2	3	16	10	96	320	6
17	2	3	16	11	96	352	6
18	2	3	16	12	96	384	6
19	2	3	16	13	96	416	6
20	2	3	16	14	96	448	6
21	2	3	16	15	96	480	6
22	2	3	16	16	96	512	6
10	2	4	3	4	24	24	8
11	2	4	3	5	24	30	8
12	2	4	3	6	24	36	8
13	2	4	3	7	24	42	12
14	2	4	3	8	24	48	8
15	2	4	3	9	24	54	8
16	2	4	3	10	24	60	8
17	2	4	3	11	24	66	10
18	2	4	3	12	24	72	8
19	2	4	3	13	24	78	8
20	2	4	3	14	24	84	8
21	2	4	3	15	24	90	8
22	2	4	3	16	24	96	8
10	2	4	4	4	32	32	10
11	2	4	4	5	32	40	10
12	2	4	4	6	32	48	14
13	2	4	4	7	32	56	10
14	2	4	4	8	32	64	8
15	2	4	4	9	32	72	8
16	2	4	4	10	32	80	8
17	2	4	4	11	32	88	8
18	2	4	4	12	32	96	8
19	2	4	4	13	32	104	14
20	2	4	4	14	32	112	10
21	2	4	4	15	32	120	10
22	2	4	4	16	32	128	10
10	2	4	5	4	40	40	12
11	2	4	5	5	40	50	12
12	2	4	5	6	40	60	8
13	2	4	5	7	40	70	8
14	2	4	5	8	40	80	12
15	2	4	5	9	40	90	8
16	2	4	5	10	40	100	8
17	2	4	5	11	40	110	8
18	2	4	5	12	40	120	8
19	2	4	5	13	40	130	8
20	2	4	5	14	40	140	8
21	2	4	5	15	40	150	8
22	2	4	5	16	40	160	8
10	2	4	6	4	48	48	10
11	2	4	6	5	48	60	8
12	2	4	6	6	48	72	8
13	2	4	6	7	48	84	14
14	2	4	6	8	48	96	8
15	2	4	6	9	48	108	8
16	2	4	6	10	48	120	8
17	2	4	6	11	48	132	8
18	2	4	6	12	48	144	8
19	2	4	6	13	48	156	8
20	2	4	6	14	48	168	12
21	2	4	6	15	48	180	12
22	2	4	6	16	48	192	10
10	2	4	7	4	56	56	8
11	2	4	7	5	56	70	8
12	2	4	7	6	56	84	12
13	2	4	7	7	56	98	8
14	2	4	7	8	56	112	12
15	2	4	7	9	56	126	10
16	2	4	7	10	56	140	10
17	2	4	7	11	56	154	10
18	2	4	7	12	56	168	10
19	2	4	7	13	56	182	8
20	2	4	7	14	56	196	8
21	2	4	7	15	56	210	8
22	2	4	7	16	56	224	8
10	2	4	8	4	64	64	8
11	2	4	8	5	64	80	8
12	2	4	8	6	64	96	10
13	2	4	8	7	64	112	8
14	2	4	8	8	64	128	10
15	2	4	8	9	64	144	16
16	2	4	8	10	64	160	14
17	2	4	8	11	64	176	8
18	2	4	8	12	64	192	8
19	2	4	8	13	64	208	8
20	2	4	8	14	64	224	8
21	2	4	8	15	64	240	8
22	2	4	8	16	64	256	8
10	2	4	9	4	72	72	8
11	2	4	9	5	72	90	12
12	2	4	9	6	72	108	20
13	2	4	9	7	72	126	10
14	2	4	9	8	72	144	8
15	2	4	9	9	72	162	10
16	2	4	9	10	72	180	8
17	2	4	9	11	72	198	10
18	2	4	9	12	72	216	10
19	2	4	9	13	72	234	10
20	2	4	9	14	72	252	14
21	2	4	9	15	72	270	14
22	2	4	9	16	72	288	14
10	2	4	10	4	80	80	8
11	2	4	10	5	80	100	12
12	2	4	10	6	80	120	8
13	2	4	10	7	80	140	10
14	2	4	10	8	80	160	10
15	2	4	10	9	80	180	10
16	2	4	10	10	80	200	10
17	2	4	10	11	80	220	10
18	2	4	10	12	80	240	10
19	2	4	10	13	80	260	8
20	2	4	10	14	80	280	10
21	2	4	10	15	80	300	8
22	2	4	10	16	80	320	8
10	2	4	11	4	88	88	8
11	2	4	11	5	88	110	8
12	2	4	11	6	88	132	8
13	2	4	11	7	88	154	10
14	2	4	11	8	88	176	12
15	2	4	11	9	88	198	10
16	2	4	11	10	88	220	10
17	2	4	11	11	88	242	8
18	2	4	11	12	88	264	10
19	2	4	11	13	88	286	10
20	2	4	11	14	88	308	10
21	2	4	11	15	88	330	10
22	2	4	11	16	88	352	10
10	2	4	12	4	96	96	10
11	2	4	12	5	96	120	10
12	2	4	12	6	96	144	14
13	2	4	12	7	96	168	12
14	2	4	12	8	96	192	10
15	2	4	12	9	96	216	10
16	2	4	12	10	96	240	10
17	2	4	12	11	96	264	8
18	2	4	12	12	96	288	10
19	2	4	12	13	96	312	10
20	2	4	12	14	96	336	8
21	2	4	12	15	96	360	8
22	2	4	12	16	96	384	8
10	2	4	13	4	104	104	10
11	2	4	13	5	104	130	10
12	2	4	13	6	104	156	8
13	2	4	13	7	104	182	8
14	2	4	13	8	104	208	12
15	2	4	13	9	104	234	8
16	2	4	13	10	104	260	10
17	2	4	13	11	104	286	8
18	2	4	13	12	104	312	10
19	2	4	13	13	104	338	10
20	2	4	13	14	104	364	10
21	2	4	13	15	104	390	10
22	2	4	13	16	104	416	10
10	2	4	14	4	112	112	10
11	2	4	14	5	112	140	10
12	2	4	14	6	112	168	10
13	2	4	14	7	112	196	10
14	2	4	14	8	112	224	10
15	2	4	14	9	112	252	8
16	2	4	14	10	112	280	8
17	2	4	14	11	112	308	8
18	2	4	14	12	112	336	8
19	2	4	14	13	112	364	14
20	2	4	14	14	112	392	10
21	2	4	14	15	112	420	10
22	2	4	14	16	112	448	10
10	2	4	15	4	120	120	10
11	2	4	15	5	120	150	8
12	2	4	15	6	120	180	10
13	2	4	15	7	120	210	8
14	2	4	15	8	120	240	8
15	2	4	15	9	120	270	10
16	2	4	15	10	120	300	8
17	2	4	15	11	120	330	8
18	2	4	15	12	120	360	8
19	2	4	15	13	120	390	8
20	2	4	15	14	120	420	8
21	2	4	15	15	120	450	14
22	2	4	15	16	120	480	12
10	2	4	16	4	128	128	8
11	2	4	16	5	128	160	8
12	2	4	16	6	128	192	8
13	2	4	16	7	128	224	8
14	2	4	16	8	128	256	8
15	2	4	16	9	128	288	10
16	2	4	16	10	128	320	8
17	2	4	16	11	128	352	8
18	2	4	16	12	128	384	10
19	2	4	16	13	128	416	12
20	2	4	16	14	128	448	10
21	2	4	16	15	128	480	12
22	2	4	16	16	128	512	12
11	2	5	3	5	30	30	12
12	2	5	3	6	30	36	10
13	2	5	3	7	30	42	10
14	2	5	3	8	30	48	12
15	2	5	3	9	30	54	10
16	2	5	3	10	30	60	12
17	2	5	3	11	30	66	10
18	2	5	3	12	30	72	12
19	2	5	3	13	30	78	8
20	2	5	3	14	30	84	12
21	2	5	3	15	30	90	10
22	2	5	3	16	30	96	10
11	2	5	4	5	40	40	8
12	2	5	4	6	40	48	22
13	2	5	4	7	40	56	14
14	2	5	4	8	40	64	12
15	2	5	4	9	40	72	12
16	2	5	4	10	40	80	8
17	2	5	4	11	40	88	8
18	2	5	4	12	40	96	14
19	2	5	4	13	40	104	10
20	2	5	4	14	40	112	10
21	2	5	4	15	40	120	18
22	2	5	4	16	40	128	12
11	2	5	5	5	50	50	10
12	2	5	5	6	50	60	10
13	2	5	5	7	50	70	10
14	2	5	5	8	50	80	10
15	2	5	5	9	50	90	8
16	2	5	5	10	50	100	10
17	2	5	5	11	50	110	10
